,0,1
AMDHD1:12:96350530,1.0,0.0
GLT8D2:12:104388212,1.0,0.0
HECTD4:12:112621996,1.0,0.0
MED13L:12:116397193,1.0,0.0
SPG20:13:36909272,1.0,1.1705698e-12
KBTBD6:13:41704628,1.0,0.0
CDADC1:13:49854799,1.0,1.0681812e-34
SLITRK1:13:84452664,1.0,2.0559247e-19
SLC10A2:13:103698526,0.010418852,0.98958117
MYO16:13:109707897,0.0030182062,0.9969818
SRP54:14:35482656,0.014553969,0.98544604
ATG2B:14:96829320,0.5743902,0.42560983
FMN1:15:33358745,1.0,0.0
ADAMTS17:15:100594241,1.0,1.7350124e-38
GLIS2:16:4382255,0.12200693,0.87799305
CORO1A:16:30198005,0.0034258813,0.9965741
CHD9:16:53301326,0.011322117,0.98867786
RPGRIP1L:16:53671674,0.3212573,0.6787427
HYDIN:16:70954765,0.9670062,0.032993786
PMFBP1:16:72158817,1.0,8.4e-44
WWOX:16:78466550,0.50590295,0.49409702
ANKRD11:16:89348528,1.0,3.603938e-16
VPS9D1:16:89775734,1.0,0.0
TP53:17:7577120,1.0,0.0
LRRC59:17:48470234,1.0,1.5062632e-08
STXBP4:17:53150428,1.0,3.807936e-38
USP32:17:58303400,1.0,3.8962774e-11
GAA:17:78081504,0.0037933833,0.99620664
LOXHD1:18:44190781,1.0,0.0
MISP:19:758226,1.0,0.0
GIPC3:19:3591657,1.0,1.7396946e-30
TUBB4A:19:6495958,0.5715126,0.42848745
ZNF563:19:12429671,1.0,0.0
ZNF563:19:12429672,1.0,0.0
KIAA1683:19:18368161,1.0,1.1534529e-33
C19orf55:19:36259136,0.99829084,0.001709177
PPP1R13L:19:45895147,0.92188126,0.07811874
ZNF583:19:56934698,1.0,0.0
SLC4A11:20:3210240,0.94726086,0.052739155
ZNF335:20:44580859,1.0,0.0
B4GALT5:20:48252893,0.0032459565,0.99675405
TIAM1:21:32554767,0.9021745,0.09782552
C21orf59:21:33974108,0.0047634565,0.9952365
MN1:22:28146918,1.0,0.0
NLGN4X:X:6069342,1.0,1.0499638e-33
SHROOM2:X:9905375,1.0,2.9615872e-25
MAGEB10:X:27840306,1.0,1.4598909e-20
FTH1P18:X:37061326,0.9999981,1.919653e-06
CASK:X:41437685,1.0,9.162965e-15
AMER1:X:63411504,0.5471208,0.45287922
FOXO4:X:70323118,1.0,2.9181765e-13
PCDH11X:X:91090880,0.109955505,0.8900445
STAG2:X:123195681,0.04365504,0.95634496
SPANXN2:X:142795153,0.99992603,7.397048e-05
UBE2NL:X:142968158,1.0,1.0892952e-20
